Año,BCRP
1920,215.3678612
1921,150.9070955
1922,178.4551166
1923,173.8233894
1924,162.9780234
1925,152.0612633
1926,134.3358554
1927,133.5253861
1928,139.48952
1929,139.9138305
1930,118.9933871
1931,114.8310722
1932,116.0520225
1933,110.2200519
1934,111.126314
1935,107.7396709
1936,109.1089961
1937,113.4906255
1938,101.3156655
1939,100.6519275
1940,98.83813566
1941,94.27443603
1942,104.9052015
1943,114.2645722
1944,113.384735
1945,108.9286497
1946,107.0543354
1947,117.2871676
1948,113.9532103
1949,113.0757705
1950,119.3786263
1951,128.4512774
1952,111.8077962
1953,96.00955755
1954,99.74889436
1955,105.2678177
1956,106.7985911
1957,107.250996
1958,90.45017898
1959,92.3414672
1960,89.87541899
1961,85.26147345
1962,89.06416189
1963,93.90395242
1964,95.79271328
1965,97.80477894
1966,112.8077245
1967,103.3281854
1968,101.4542518
1969,112.8392902
1970,110.2200126
1971,97.13080724
1972,89.51689059
1973,111.3671314
1974,122.8403689
1975,111.1323865
1976,101.949868
1977,96.38396857
1978,84.81177653
1979,104.0106696
1980,105.5271616
1981,93.53312725
1982,88.17843706
1983,93.2515498
1984,88.92626913
1985,84.14703918
1986,73.38388822
1987,73.25958352
1988,76.42772123
1989,71.44714303
1990,65.46126785
1991,62.49038627
1992,60.89111393
1993,54.68478729
1994,55.39953337
1995,59.4675237
1996,57.74970361
1997,62.38199228
1998,60.79269606
1999,57.38398436
2000,56.58936207
2001,56.30638875
2002,60.36868264
2003,61.32050158
2004,69.25135818
2005,73.15729151
2006,94.17054706
2007,100
2008,86.96113425
2009,86.94876799
2010,103.9374962
2011,109.8890175
2012,108.0005056
2013,102.103065
2014,97.62427148
2015,94.15624025
2016,97.35835687
2017,104.4886627
2018,101.9756707
2019,103.1663352
2020,114.700458
2021,125.2063812
2022,112.6419152
2023,121.3236906
2024,136.6634364
2025,150.77