Departamento,Población,Porcentaje,Porcentaje Total
Amazonas,430251,1.252541321,1.194705831
Áncash,1205639,3.509841153,3.347775935
Apurímac,424906,1.236981024,1.179864023
Arequipa,1631136,4.748542689,4.529281026
Ayacucho,669020,1.947642643,1.857711186
Cajamarca,1443839,4.203286009,4.00920131
Callao,1228411,3.576134714,3.411008423
Cusco,1406165,4.093609932,3.904589473
Huancavelica,327440,0.953239226,0.909223866
Huánuco,741887,2.15977214,2.060045706
Ica,1083566,3.154463765,3.008807926
Junín,1383107,4.026483771,3.84056283
La Libertad,2155943,6.276354252,5.98654663
Lambayeque,1372301,3.995025479,3.81055711
Lima Centro,2162812,6.296351199,6.005620227
Lima Este,3143668,9.151806898,8.729226641
Lima Metropolitana,10432133,30.3698949,28.96757969
Lima Norte,3054208,8.891372067,8.480817262
Lima Provincias,1029862,2.998121353,2.859684549
Lima Sur,2071445,6.030364733,5.751915558
Loreto,1063495,3.096033321,2.953075479
Madre de Dios,203069,0.591171929,0.563874851
Moquegua,202946,0.590813853,0.563533309
Pasco,263354,0.766672866,0.731272117
Piura,2172710,6.325166133,6.033104645
Puno,1199636,3.492365294,3.331107016
San Martín,955789,2.782480963,2.65400125
Tacna,402089,1.17055646,1.116506581
Tumbes,270134,0.786410717,0.750098582
Ucayali,651416,1.896394098,1.808829018
Venezuela,1662889,4.840981624,4.617451639